"memory_level" "stimulus_tau" "mean_n_eff"
"1" 0.1 0.05 1.61452591328628
"2" 0.1 0.2 2.42920216334993
"3" 0.1 0.4 3.83923774916305
"4" 0.6 0.05 1.35457590274322
"5" 0.6 0.2 2.75661576832615
"6" 0.6 0.4 4.34721157712448
"7" 1 0.05 1.04476451868173
"8" 1 0.2 4.07205794377514
"9" 1 0.4 4.97898264720161
