demand,fixed_time_min,missingness
1300,0.08,0.8482
1300,0.17,0.7345
1300,0.25,0.6467
1300,0.5,0.4696
1550,0.08,0.8271
1550,0.17,0.7108
1550,0.25,0.625
1550,0.5,0.4643
2000,0.08,0.7877
2000,0.17,0.6488
2000,0.25,0.5496
2000,0.5,0.3754
