demand,fixed_time_min,episode,rgap
1300,0.08,0,18.27520854804655
1300,0.08,1,18.233341585678208
1300,0.08,2,17.320998910278558
1300,0.08,3,16.991198139674974
1300,0.08,4,19.345138136119928
1300,0.08,5,18.52795172354108
1300,0.08,6,19.452153595033046
1300,0.08,7,18.780685136697798
1300,0.08,8,16.807643363289987
1300,0.08,9,17.142961826559144
1300,0.08,10,18.925072017617367
1300,0.08,11,18.275808074285955
1300,0.08,12,17.203515208792464
1300,0.08,13,17.448624899509145
1300,0.08,14,17.254906069293927
1300,0.08,15,17.362019815640643
1300,0.08,16,18.002885484726217
1300,0.08,17,16.981231837572448
1300,0.08,18,18.52155338273215
1300,0.08,19,18.608924322065423
1300,0.08,20,18.385081341275946
1300,0.08,21,16.64728975191169
1300,0.08,22,18.46810251244275
1300,0.08,23,18.826912074799047
1300,0.08,24,17.512173580865575
1300,0.08,25,17.910244354100648
1300,0.08,26,14.84444414376581
1300,0.08,27,12.458092447270342
1300,0.08,28,11.725211389991925
1300,0.08,29,10.69597936196111
1300,0.08,30,10.083318686317142
1300,0.08,31,8.56305024459358
1300,0.08,32,8.750301493325473
1300,0.08,33,7.597870137889356
1300,0.08,34,6.893258793167252
1300,0.08,35,6.380829895584962
1300,0.08,36,5.248218084241523
1300,0.08,37,4.707762539812892
1300,0.08,38,4.9079809055674515
1300,0.08,39,3.9424151423130236
1300,0.08,40,3.8498116977809005
1300,0.08,41,4.088577559069549
1300,0.08,42,3.476424390516888
1300,0.08,43,3.940669112733902
1300,0.08,44,3.038783787825504
1300,0.08,45,3.003103364085288
1300,0.08,46,3.5545418086960447
1300,0.08,47,3.0913334646031116
1300,0.08,48,2.822108271377181
1300,0.08,49,3.5599915022373003
1300,0.08,50,2.9735904974680856
1300,0.08,51,3.3914415147941197
1300,0.08,52,2.771901181537306
1300,0.08,53,2.759922413725807
1300,0.08,54,2.4482575643710573
1300,0.08,55,2.6145071791262997
1300,0.08,56,2.655960873385904
1300,0.08,57,2.6029323549170593
1300,0.08,58,2.3016323911827925
1300,0.08,59,2.2083174600084536
1300,0.08,60,2.548301413998548
1300,0.08,61,2.738131749650117
1300,0.08,62,2.0953180188993015
1300,0.08,63,1.9693956675313369
1300,0.08,64,2.6087833237905396
1300,0.08,65,2.5659732280674854
1300,0.08,66,2.2895194266105605
1300,0.08,67,2.300535414487623
1300,0.08,68,2.0150993952152976
1300,0.08,69,2.5468289118102243
1300,0.08,70,1.7919978299952948
1300,0.08,71,2.525024502426674
1300,0.08,72,2.5212752687782944
1300,0.17,0,14.007773240271579
1300,0.17,1,14.32782090879012
1300,0.17,2,13.63065801450147
1300,0.17,3,13.217800489222764
1300,0.17,4,15.505947966386296
1300,0.17,5,14.469224529433014
1300,0.17,6,15.360111835019492
1300,0.17,7,14.845719065987396
1300,0.17,8,12.955475397986142
1300,0.17,9,13.332185239784328
1300,0.17,10,14.950324730798915
1300,0.17,11,14.382247454448544
1300,0.17,12,13.192602091031693
1300,0.17,13,13.316463586677655
1300,0.17,14,13.349643018216906
1300,0.17,15,13.178171674526576
1300,0.17,16,14.239252389927657
1300,0.17,17,13.142226207759428
1300,0.17,18,14.668945284530224
1300,0.17,19,15.230360770688895
1300,0.17,20,14.22120374287734
1300,0.17,21,12.438544245689132
1300,0.17,22,14.580507605773116
1300,0.17,23,15.054488683102713
1300,0.17,24,14.120501054655094
1300,0.17,25,14.0122178930996
1300,0.17,26,11.033944856084403
1300,0.17,27,8.913709534784745
1300,0.17,28,7.938880173284334
1300,0.17,29,6.849614365667181
1300,0.17,30,6.431717074441981
1300,0.17,31,5.199330432996449
1300,0.17,32,5.273194794772248
1300,0.17,33,4.181265674693935
1300,0.17,34,3.4358947556516224
1300,0.17,35,3.2403813720272296
1300,0.17,36,1.8476816384010084
1300,0.17,37,1.4311333536025044
1300,0.17,38,1.5524002903448073
1300,0.17,39,0.6057197091687359
1300,0.17,40,0.6898985056603173
1300,0.17,41,0.6352318480923975
1300,0.17,42,0.135095444676575
1300,0.17,43,0.5417385375195679
1300,0.17,44,-0.20801347989975977
1300,0.17,45,-0.2531181301206389
1300,0.17,46,0.2683401815148466
1300,0.17,47,-0.27543345763599913
1300,0.17,48,-0.5778842230515117
1300,0.17,49,-0.048745853005464745
