n_routes_per_od,first_r_gap,final_r_gap,episodes_to_convergence,demand
2,21.47396324962893,-1.4374182276662215,42.0,2000
3,17.004629494622044,0.4812972008276216,53.0,2000
4,13.506553042217673,-0.6340657325616357,59.0,2000
5,14.918106753038291,-1.8731595794487854,67.0,2000
6,16.139557853573585,-1.207019888014064,71.0,2000
7,16.420510788262817,-1.0914162136849397,75.0,2000
8,21.310863130866604,-0.4088783706830961,80.0,2000
9,27.337710162546685,5.672456416279574,80.0,2000
