demand,fixed_time_min,missingness
1300,0.5,0.4696
1300,1.0,0.3031
1300,5.0,0.1142
1300,15.0,0.0864
1300,30.0,0.0824
1300,60.0,0.086
1550,0.5,0.4643
1550,1.0,0.3202
1550,5.0,0.156
1550,15.0,0.1226
1550,30.0,0.1152
1550,60.0,0.1146
2000,0.5,0.3754
2000,1.0,0.2328
2000,5.0,0.0889
2000,15.0,0.0696
2000,30.0,0.0677
2000,60.0,0.0711
