max_od_space,first_r_gap,final_r_gap,episodes_to_convergence,demand
5,64.91038280952488,74.01837025551991,79.0,2000
10,21.310863130866604,-0.4088783706830961,80.0,2000
15,31.15896534335868,14.585975303377587,80.0,2000
20,16.004841724099112,2.8704891356735827,80.0,2000
25,17.396024448781507,-1.6337474969181773,82.0,2000
30,14.62271568799125,-0.6450311256250085,79.0,2000
35,16.985302036733625,-1.2363424460479575,85.0,2000
40,14.23296512230838,-1.9815783287470283,81.0,2000
45,14.66193403665872,-3.067689423894391,77.0,2000
50,13.48347900803656,-2.697769696820283,82.0,2000
