origin,-E1,-E2,-E5,E3,E5,E6,E7
-E1,0,0,0,0,1,0,0
-E3,0,0,0,0,0,3,0
-E6,2,2,1,1,0,0,12
E0,0,0,0,0,0,9,11
E1,0,0,0,0,0,2,0
E2,0,0,0,0,1,0,0
E5,0,0,0,0,0,5,0
